"full_path","source_root","relative_path","name","extension","size_bytes","size_mb","modified_time","sheet_count","approx_rows","approx_columns","encoding","possible_source","probable_content","key_variables_identified","thematic_category","potential_utility","status","compressed_entry_count","compressed_entry_extensions","observations"
"${DATA_PART_I}\API_NY.GDP.MKTP.CD_DS2_es_excel_v2_501.xls","${DATA_PART_I}","API_NY.GDP.MKTP.CD_DS2_es_excel_v2_501.xls","API_NY.GDP.MKTP.CD_DS2_es_excel_v2_501.xls",".xls","337920","0.322","2026-06-10T01:29:42",,,,"","local file; source not explicit from name","Likely GDP or national accounts series.","gdp","GDP","medium to high: candidate for country-year panel","possibly useful","","","Binary/statistical format inventoried from printable metadata sample only."
"${DATA_PART_I}\panel_processing_manifest.csv","${DATA_PART_I}","panel_processing_manifest.csv","panel_processing_manifest.csv",".csv","4153","0.004","2026-06-19T23:07:34",,"16","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country_panel","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\panel_processing_manifest_Codex.csv","${DATA_PART_I}","panel_processing_manifest_Codex.csv","panel_processing_manifest_Codex.csv",".csv","2893","0.003","2026-06-19T18:03:58",,"16","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country_panel","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601.zip","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601.zip","BACI_HS02_V202601.zip",".zip","2052524848","1957.44","2026-06-08T17:48:15",,,,"","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","26",".csv:25; .txt:1","ZIP contents listed without extraction."
"${DATA_PART_I}\10_CEPII Gravity\Gravity_csv_V202211.zip","${DATA_PART_I}","10_CEPII Gravity\Gravity_csv_V202211.zip","Gravity_csv_V202211.zip",".zip","206707748","197.132","2026-01-10T18:43:46",,,,"","BACI/CEPII candidate","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","12",".csv:12","ZIP contents listed without extraction."
"${DATA_PART_I}\10_CEPII Gravity\Gravity_dta_V202211.zip","${DATA_PART_I}","10_CEPII Gravity\Gravity_dta_V202211.zip","Gravity_dta_V202211.zip",".zip","224906562","214.488","2026-01-10T18:45:12",,,,"","BACI/CEPII candidate","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","2",".dta:2","ZIP contents listed without extraction."
"${DATA_PART_I}\10_CEPII Gravity\Gravity_rds_V202211.zip","${DATA_PART_I}","10_CEPII Gravity\Gravity_rds_V202211.zip","Gravity_rds_V202211.zip",".zip","121731344","116.092","2026-01-10T18:44:17",,,,"","BACI/CEPII candidate","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","12",".csv:11; .rds:1","ZIP contents listed without extraction."
"${DATA_PART_I}\10_CEPII Gravity\PanelData_BACI_country-year+.R","${DATA_PART_I}","10_CEPII Gravity\PanelData_BACI_country-year+.R","PanelData_BACI_country-year+.R",".r","22975","0.022","2026-06-16T16:45:19",,,,"","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","paneldata_baci_country; year; hs02; exportaciones; importaciones","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","",""
"${DATA_PART_I}\10_CEPII Gravity\PanelData_BACI_country-year.R","${DATA_PART_I}","10_CEPII Gravity\PanelData_BACI_country-year.R","PanelData_BACI_country-year.R",".r","6556","0.006","2026-06-11T18:57:20",,,,"","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","paneldata_baci_country; year; hs02; exportaciones; importaciones; baci_hs02_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","",""
"${DATA_PART_I}\10_CEPII Gravity\PanelData_CEPII_country-year+.R","${DATA_PART_I}","10_CEPII Gravity\PanelData_CEPII_country-year+.R","PanelData_CEPII_country-year+.R",".r","25761","0.025","2026-06-16T15:43:21",,,,"","BACI/CEPII candidate","Content inferred from file name and sampled fields only.","paneldata_cepii_country; year","other","documentation, code, or existing output; not primary analytical data","possibly useful","","",""
