"product_code","year","product_section","product_chapter","world_export_value","ubiquity","source_pci","pci","ubiquity_complexity","pci_final"
"0101","2023","Animal products","01","3532401246","18","0.272","0.149377994509146","18","0.149377994509146"
"0102","2023","Animal products","01","8955622513","48","-0.587","-0.714263847949451","48","-0.714263847949451"
"0103","2023","Animal products","01","4619428609","16","0.794","0.770444029289479","16","0.770444029289479"
"0104","2023","Animal products","01","2573840304","31","-1.514","-1.71653675455337","31","-1.71653675455337"
"0105","2023","Animal products","01","3429056217","41","-0.512","-0.570392191316819","41","-0.570392191316819"
"0106","2023","Animal products","01","1531553674","56","-1.126","-1.16902124265161","56","-1.16902124265161"
"0201","2023","Animal products","02","27906083519","26","-0.548","-0.653165850184425","26","-0.653165850184425"
"0202","2023","Animal products","02","30582347696","19","-1.129","-1.32066562069503","19","-1.32066562069503"
"0203","2023","Animal products","02","33270006250","19","0.548","0.485329554597485","19","0.485329554597485"
"0204","2023","Animal products","02","7764724004","25","-1.341","-1.45685523594406","25","-1.45685523594406"
"0205","2023","Animal products","02","380083896","17","-0.233","-0.309565627365317","17","-0.309565627365317"
"0206","2023","Animal products","02","8990756931","25","-0.459","-0.553238639178672","25","-0.553238639178672"
"0207","2023","Animal products","02","32556955482","29","-0.334","-0.42006941418218","29","-0.42006941418218"
"0208","2023","Animal products","02","746937122","28","0.097","0.149007560227105","28","0.149007560227105"
"0209","2023","Animal products","02","814551438","22","0.4","0.363511938217549","22","0.363511938217549"
"0210","2023","Animal products","02","5038074469","21","-0.023","-0.0514400417740198","21","-0.0514400417740198"
"0301","2023","Animal products","03","2245738001","47","-0.868","-0.824511219696492","47","-0.824511219696492"
"0302","2023","Animal products","03","23534055356","52","-1.139","-1.19635200371756","52","-1.19635200371756"
"0303","2023","Animal products","03","24171549630","83","-1.347","-1.44865889989612","83","-1.44865889989612"
"0304","2023","Animal products","03","25691167188","57","-1.216","-1.19824654774556","57","-1.19824654774556"
"0305","2023","Animal products","03","5942310396","55","-1.78","-1.9300497415486","55","-1.9300497415486"
"0306","2023","Animal products","03","25621629861","51","-1.792","-1.74533765515291","51","-1.74533765515291"
"0307","2023","Animal products","03","11383426419","54","-1.408","-1.44926296030792","54","-1.44926296030792"
"0401","2023","Animal products","04","10144260934","38","0.026","-0.0263019556060195","38","-0.0263019556060195"
"0402","2023","Animal products","04","21273248016","39","-0.617","-0.683505766180266","39","-0.683505766180266"
"0403","2023","Animal products","04","5125158882","46","-0.344","-0.368779931877927","46","-0.368779931877927"
"0404","2023","Animal products","04","4737840385","26","0.325","0.248589307102501","26","0.248589307102501"
"0405","2023","Animal products","04","10120005912","27","-0.442","-0.492355858272664","27","-0.492355858272664"
"0406","2023","Animal products","04","38369221153","33","0.103","0.134723145220533","33","0.134723145220533"
"0407","2023","Animal products","04","5221902704","46","-0.591","-0.524822582763022","46","-0.524822582763022"
"0408","2023","Animal products","04","1725161118","25","-0.278","-0.250661257731935","25","-0.250661257731935"
"0409","2023","Animal products","04","1946913194","43","-1.028","-0.9551285656394","43","-0.9551285656394"
"0410","2023","Animal products","04","1049867757","4","0.946","0.925914631148212","4","0.925914631148212"
"0501","2023","Animal products","05","201212491","8","-2.464","-2.52677978070203","8","-2.52677978070203"
"0502","2023","Animal products","05","56045407","9","0.451","0.439618850675804","9","0.439618850675804"
"0504","2023","Animal products","05","4403003606","33","-0.972","-0.984965450933362","33","-0.984965450933362"
"0505","2023","Animal products","05","1572604316","14","-0.067","0.0123015734941426","14","0.0123015734941426"
"0506","2023","Animal products","05","353447615","35","-0.795","-0.889101563416982","35","-0.889101563416982"
"0507","2023","Animal products","05","191659189","30","-1.562","-1.69741682496459","30","-1.69741682496459"
"0508","2023","Animal products","05","179259245","49","-1.399","-1.53669841180824","49","-1.53669841180824"
"0510","2023","Animal products","05","520324633","24","-1.535","-1.63497336499865","24","-1.63497336499865"
"0511","2023","Animal products","05","3358205224","53","-1.03","-1.0950257463289","53","-1.0950257463289"
"0601","2023","Vegetable products","06","1807301964","14","-0.684","-0.586856837507408","14","-0.586856837507408"
"0602","2023","Vegetable products","06","9969832414","29","-1.098","-0.853665993303246","29","-0.853665993303246"
"0603","2023","Vegetable products","06","8991740296","19","-1.696","-1.7429356690556","19","-1.7429356690556"
"0604","2023","Vegetable products","06","1333891542","35","-1.065","-0.882789232249066","35","-0.882789232249066"
"0701","2023","Vegetable products","07","5694775171","33","-0.61","-0.62772327530776","33","-0.62772327530776"
"0702","2023","Vegetable products","07","10473979789","34","-1.408","-1.3010876671777","34","-1.3010876671777"
"0703","2023","Vegetable products","07","8355347432","37","-2.135","-2.18282010416736","37","-2.18282010416736"
"0704","2023","Vegetable products","07","3999614741","26","-0.906","-0.760488286701008","26","-0.760488286701008"
"0705","2023","Vegetable products","07","3340592592","13","-0.621","-0.568366010933632","13","-0.568366010933632"
"0706","2023","Vegetable products","07","2389610145","35","-0.762","-0.752780576950848","35","-0.752780576950848"
"0707","2023","Vegetable products","07","3398555694","28","-0.868","-0.72492773717531","28","-0.72492773717531"
"0708","2023","Vegetable products","07","1546009753","36","-1.814","-1.89003415710558","36","-1.89003415710558"
"0709","2023","Vegetable products","07","16848773882","43","-1.111","-0.975233547268114","43","-0.975233547268114"
"0710","2023","Vegetable products","07","7625958899","38","-0.887","-0.812438189249459","38","-0.812438189249459"
"0711","2023","Vegetable products","07","714118860","37","-0.977","-0.88830968433866","37","-0.88830968433866"
"0712","2023","Vegetable products","07","3411490523","42","-1.33","-1.31827459063244","42","-1.31827459063244"
"0713","2023","Vegetable products","07","15652340025","42","-1.922","-1.99633304845988","42","-1.99633304845988"
"0714","2023","Vegetable products","07","3152867934","32","-2.286","-2.27221761458415","32","-2.27221761458415"
"0801","2023","Vegetable products","08","7698282202","38","-1.853","-2.06072000121058","38","-2.06072000121058"
"0802","2023","Vegetable products","08","17273139937","32","-1.517","-1.54866921634538","32","-1.54866921634538"
"0803","2023","Vegetable products","08","13075979710","42","-1.513","-1.40345132663515","42","-1.40345132663515"
"0804","2023","Vegetable products","08","15326822709","59","-1.734","-1.80551252939328","59","-1.80551252939328"
"0805","2023","Vegetable products","08","15047473670","34","-1.269","-1.24395018645797","34","-1.24395018645797"
"0806","2023","Vegetable products","08","10136207232","28","-1.307","-1.32704570004797","28","-1.32704570004797"
"0807","2023","Vegetable products","08","4163758445","36","-1.477","-1.38554972918472","36","-1.38554972918472"
"0808","2023","Vegetable products","08","8956085681","27","-0.558","-0.510612447017252","27","-0.510612447017252"
"0809","2023","Vegetable products","08","7473936507","30","-1.015","-0.937998968991072","30","-0.937998968991072"
"0810","2023","Vegetable products","08","24452926471","41","-1.385","-1.21800476401403","41","-1.21800476401403"
"0811","2023","Vegetable products","08","6665032047","47","-0.629","-0.531959395448714","47","-0.531959395448714"
"0812","2023","Vegetable products","08","266852036","31","-1.3","-1.23899864719314","31","-1.23899864719314"
"0813","2023","Vegetable products","08","2948976852","48","-0.945","-0.804864976666518","48","-0.804864976666518"
"0814","2023","Vegetable products","08","96217486","27","-1.824","-1.75071598533722","27","-1.75071598533722"
"0901","2023","Vegetable products","09","37860456314","48","-1.411","-1.48102286893524","48","-1.48102286893524"
"0902","2023","Vegetable products","09","7300196177","31","-1.897","-1.88086932119706","31","-1.88086932119706"
"0903","2023","Vegetable products","09","203510026","11","-1.537","-1.51934351045113","11","-1.51934351045113"
"0904","2023","Vegetable products","09","4911939726","43","-1.597","-1.41634747229532","43","-1.41634747229532"
"0905","2023","Vegetable products","09","507649170","22","-1.462","-1.53801655403815","22","-1.53801655403815"
"0906","2023","Vegetable products","09","795680670","21","-0.961","-0.80321861216645","21","-0.80321861216645"
"0907","2023","Vegetable products","09","571481328","14","-1.35","-1.29733550909766","14","-1.29733550909766"
"0908","2023","Vegetable products","09","1067414963","17","-1.424","-1.2216444416772","17","-1.2216444416772"
"0909","2023","Vegetable products","09","1705600327","29","-1.375","-1.34626859707797","29","-1.34626859707797"
