from,to,proximity
6105,6109,0.808510638297872
7404,7602,0.787037037037037
6104,6110,0.785714285714286
6103,6105,0.777777777777778
6101,6102,0.775510204081633
6203,6205,0.775510204081633
6103,6110,0.772727272727273
6109,6203,0.770833333333333
6104,6204,0.767441860465116
6102,6206,0.765957446808511
6204,6206,0.760869565217391
6102,6106,0.76
6106,6203,0.76
6201,6202,0.756756756756757
2607,2608,0.75
6103,6104,0.75
6103,6203,0.75
6203,6204,0.75
6111,6209,0.75
6109,6110,0.74468085106383
6101,6106,0.74
6104,6106,0.74
6105,6106,0.74
6106,6109,0.74
6106,6206,0.74
6110,6203,0.729166666666667
6103,6204,0.727272727272727
8510,8715,0.727272727272727
6102,6103,0.723404255319149
6102,6104,0.723404255319149
6102,6109,0.723404255319149
6103,6109,0.723404255319149
6110,6204,0.72093023255814
6103,6106,0.72
6106,6205,0.72
6103,6206,0.717391304347826
6205,6206,0.714285714285714
6104,6105,0.711111111111111
6104,6203,0.708333333333333
6203,6206,0.708333333333333
6103,6207,0.704545454545455
6104,6109,0.702127659574468
6102,6110,0.702127659574468
6109,6114,0.702127659574468
6102,6204,0.702127659574468
1803,1804,0.7
6106,6110,0.7
6106,6204,0.7
6804,8464,0.7
6203,6211,0.69811320754717
6204,6207,0.697674418604651
6104,6206,0.695652173913044
6103,6205,0.693877551020408
6109,6205,0.693877551020408
6110,6205,0.693877551020408
4703,4705,0.692307692307692
7505,7507,0.692307692307692
7204,7602,0.691588785046729
8432,8433,0.689655172413793
6105,6110,0.688888888888889
3208,3209,0.6875
5309,5801,0.6875
6102,6203,0.6875
6105,6203,0.6875
9101,9102,0.68421052631579
1904,1905,0.683333333333333
0203,0209,0.681818181818182
6109,6204,0.680851063829787
1001,1003,0.68
1904,3402,0.68
6204,6211,0.679245283018868
6206,6211,0.679245283018868
6104,6107,0.675
6104,6112,0.675
6107,6204,0.674418604651163
7308,7326,0.674418604651163
6206,6207,0.673913043478261
6101,6103,0.673469387755102
6101,6110,0.673469387755102
6204,6205,0.673469387755102
2903,2926,0.666666666666667
2812,3705,0.666666666666667
5205,5206,0.666666666666667
6110,6112,0.666666666666667
6110,6114,0.666666666666667
6105,6204,0.666666666666667
6104,6207,0.666666666666667
6107,6207,0.666666666666667
6110,6207,0.666666666666667
6203,6207,0.666666666666667
6207,6208,0.666666666666667
6108,6209,0.666666666666667
6110,6209,0.666666666666667
6207,6209,0.666666666666667
6208,6209,0.666666666666667
7220,8475,0.666666666666667
8422,8476,0.666666666666667
6102,6211,0.660377358490566
6106,6211,0.660377358490566
6110,6211,0.660377358490566
6205,6211,0.660377358490566
6102,6105,0.659574468085106
6107,6109,0.659574468085106
6102,6112,0.659574468085106
6109,6206,0.659574468085106
6102,6210,0.659574468085106
6103,6107,0.659090909090909
6103,6209,0.659090909090909
6111,6114,0.657894736842105
6114,6209,0.657894736842105
2515,6802,0.655172413793103
4902,8530,0.653846153846154
6101,6104,0.653061224489796
6101,6109,0.653061224489796
6101,6203,0.653061224489796
6101,6205,0.653061224489796
6102,6205,0.653061224489796
6205,6207,0.653061224489796
6101,6210,0.653061224489796
0401,0403,0.652173913043478
4822,7308,0.651162790697675
7308,7610,0.651162790697675
1804,1805,0.65
2907,2914,0.65
6104,6111,0.65
6104,6114,0.65
6107,6115,0.65
6104,6209,0.65
6804,8207,0.65
5910,8464,0.65
8207,8464,0.65
7325,7326,0.648648648648649
7222,7415,0.647058823529412
6107,6203,0.645833333333333
3209,7310,0.645833333333333
6107,6110,0.642857142857143
3820,8432,0.642857142857143
8456,8457,0.642857142857143
6101,6211,0.641509433962264
6106,6107,0.64
8481,9026,0.64
3803,4705,0.636363636363636
6103,6111,0.636363636363636
6103,6114,0.636363636363636
8510,9610,0.636363636363636
3923,4819,0.634920634920635
4822,9406,0.634146341463415
5204,5401,0.633333333333333
3820,6806,0.633333333333333
6105,6205,0.63265306122449
6101,6206,0.63265306122449
3214,4808,0.631578947368421
6112,6209,0.631578947368421
8416,8417,0.631578947368421
3925,9403,0.631578947368421
6105,6206,0.630434782608696
6110,6206,0.630434782608696
6206,6209,0.630434782608696
6108,6208,0.628571428571429
6111,6204,0.627906976744186
6112,6204,0.627906976744186
6114,6204,0.627906976744186
6204,6208,0.627906976744186
6204,6209,0.627906976744186
1509,1510,0.625
2919,2928,0.625
3209,3402,0.625
3403,3819,0.625
4009,4016,0.625
5002,5004,0.625
6107,6111,0.625
6114,6203,0.625
6104,6208,0.625
6107,6208,0.625
6203,6209,0.625
7107,7506,0.625
2940,7609,0.625
2913,8445,0.625
2919,8445,0.625
8441,8463,0.625
8455,8463,0.625
8460,8463,0.625
4016,8708,0.625
7604,9403,0.625
6103,6211,0.622641509433962
6109,6211,0.622641509433962
2005,2105,0.622222222222222
6105,6114,0.622222222222222
6201,6209,0.621621621621622
4016,7326,0.621621621621622
7326,8503,0.621621621621622
3901,3902,0.620689655172414
7204,7404,0.62037037037037
1904,2005,0.62
6106,6114,0.62
6106,6207,0.62
1003,1205,0.619047619047619
2106,3923,0.619047619047619
6110,6111,0.619047619047619
6110,6201,0.619047619047619
5910,8208,0.619047619047619
4818,4819,0.618181818181818
4819,4821,0.618181818181818
0702,0707,0.617647058823529
6109,6111,0.617021276595745
6102,6207,0.617021276595745
6109,6207,0.617021276595745
0201,0206,0.615384615384615
2920,2926,0.615384615384615
3306,3307,0.615384615384615
2926,3911,0.615384615384615
3911,7225,0.615384615384615
7221,7507,0.615384615384615
8457,8458,0.615384615384615
1601,1602,0.613636363636364
1601,4901,0.613636363636364
6110,6210,0.613636363636364
8419,8501,0.612903225806452
3922,8716,0.612903225806452
1601,4821,0.612244897959184
3209,4821,0.612244897959184
6104,6205,0.612244897959184
5910,7226,0.611111111111111
5910,8417,0.611111111111111
9401,9403,0.611111111111111
1602,1901,0.609756097560976
3905,3906,0.608695652173913
6107,6206,0.608695652173913
6112,6206,0.608695652173913
6206,6210,0.608695652173913
0306,1605,0.607843137254902
3402,4818,0.607843137254902
4005,4008,0.607142857142857
2515,6801,0.607142857142857
4008,8432,0.607142857142857
8428,8432,0.607142857142857
6111,6112,0.605263157894737
6112,6208,0.605263157894737
6201,6204,0.604651162790698
3925,7308,0.604651162790698
1704,3402,0.604166666666667
6201,6203,0.604166666666667
6104,6211,0.60377358490566
6105,6211,0.60377358490566
0808,0809,0.6
1001,1005,0.6
1704,1904,0.6
0709,2005,0.6
2001,2005,0.6
2912,2925,0.6
3805,3806,0.6
4410,4411,0.6
2716,4415,0.6
1904,4821,0.6
2103,4821,0.6
5210,5516,0.6
5210,5801,0.6
5605,5801,0.6
6107,6108,0.6
6105,6111,0.6
6108,6111,0.6
6111,6113,0.6
6107,6114,0.6
6104,6201,0.6
6111,6208,0.6
6107,6209,0.6
6108,6212,0.6
4202,6214,0.6
3818,7006,0.6
7224,7227,0.6
3925,7314,0.6
4005,7322,0.6
6804,7607,0.6
7607,8464,0.6
7229,8480,0.6
8454,8480,0.6
8413,8481,0.6
4009,8708,0.6
8711,8712,0.6
2106,3917,0.596774193548387
0304,0305,0.596491228070175
3305,3402,0.596153846153846
0710,0811,0.595744680851064
6102,6107,0.595744680851064
6102,6201,0.595744680851064
6102,6209,0.595744680851064
6109,6209,0.595744680851064
6108,6207,0.595238095238095
6111,6207,0.595238095238095
6112,6207,0.595238095238095
6201,6403,0.594594594594595
7307,7326,0.594594594594595
7326,7616,0.594594594594595
0306,0307,0.592592592592593
3209,3917,0.592592592592593
5807,6002,0.592592592592593
6117,6505,0.592592592592593
4010,8413,0.592592592592593
0813,2007,0.591836734693878
6101,6105,0.591836734693878
6101,6107,0.591836734693878
6101,6204,0.591836734693878
6201,6205,0.591836734693878
6205,6209,0.591836734693878
1601,2105,0.590909090909091
2105,3208,0.590909090909091
6103,6208,0.590909090909091
6103,6210,0.590909090909091
6112,6210,0.590909090909091
3208,7308,0.590909090909091
7308,7309,0.590909090909091
7412,8465,0.590909090909091
8464,8465,0.590909090909091
8208,8515,0.590909090909091
7309,9406,0.590909090909091
2912,2921,0.588235294117647
2912,3914,0.588235294117647
1904,4818,0.588235294117647
3209,4818,0.588235294117647
7224,7226,0.588235294117647
4818,7308,0.588235294117647
7222,8463,0.588235294117647
8532,8542,0.588235294117647
1905,3923,0.587301587301587
0105,0407,0.586956521739131
1704,1806,0.586956521739131
3208,3210,0.586956521739131
6111,6206,0.586956521739131
6801,6802,0.586206896551724
3820,8433,0.586206896551724
3926,8433,0.586206896551724
8424,8434,0.586206896551724
7616,8442,0.586206896551724
8412,8485,0.586206896551724
8483,8485,0.586206896551724
5911,8708,0.586206896551724
7616,8708,0.586206896551724
8409,8708,0.586206896551724
8501,8708,0.586206896551724
8512,8708,0.586206896551724
3820,8716,0.586206896551724
8432,8716,0.586206896551724
0711,2001,0.585365853658537
3925,9406,0.585365853658537
6112,6211,0.584905660377359
6210,6211,0.584905660377359
2528,2810,0.583333333333333
2903,2931,0.583333333333333
2926,2931,0.583333333333333
3209,3210,0.583333333333333
3208,3402,0.583333333333333
3208,3814,0.583333333333333
1905,4415,0.583333333333333
6113,6209,0.583333333333333
3402,7310,0.583333333333333
6815,7320,0.583333333333333
8466,8515,0.583333333333333
8466,9305,0.583333333333333
3917,4819,0.581818181818182
