from,to,proximity
0201,0206,0.615384615384615
0202,0206,0.56
0203,0209,0.681818181818182
0302,0304,0.578947368421053
0304,0305,0.596491228070175
0306,0307,0.592592592592593
0401,0403,0.652173913043478
0201,0404,0.576923076923077
0404,0405,0.555555555555556
0401,0406,0.578947368421053
0105,0407,0.586956521739131
0702,0707,0.617647058823529
0702,0709,0.558139534883721
0710,0712,0.571428571428571
0702,0807,0.555555555555556
0806,0808,0.571428571428571
0806,0809,0.566666666666667
0808,0809,0.6
0710,0811,0.595744680851064
1001,1003,0.68
1001,1005,0.6
1103,1104,0.551020408163265
1001,1205,0.56
1003,1205,0.619047619047619
0209,1501,0.576923076923077
0408,1501,0.576923076923077
1509,1510,0.625
0401,1601,0.568181818181818
1601,1602,0.613636363636364
0306,1605,0.607843137254902
0307,1605,0.574074074074074
1803,1804,0.7
1803,1805,0.55
1804,1805,0.65
1704,1806,0.586956521739131
1602,1901,0.609756097560976
0105,1904,0.58
0403,1904,0.56
1704,1904,0.6
1904,1905,0.683333333333333
0709,2001,0.558139534883721
0711,2001,0.585365853658537
0709,2005,0.6
0710,2005,0.555555555555556
0711,2005,0.555555555555556
1601,2005,0.577777777777778
1704,2005,0.565217391304348
1904,2005,0.62
1905,2005,0.55
2001,2005,0.6
0813,2007,0.591836734693878
1704,2007,0.571428571428571
2005,2007,0.551020408163265
2008,2009,0.555555555555556
1904,2103,0.58
1601,2105,0.590909090909091
1905,2105,0.55
2005,2105,0.622222222222222
1905,2106,0.580645161290323
0307,2301,0.555555555555556
0909,2515,0.551724137931035
2607,2608,0.75
2713,2715,0.567567567567568
2528,2810,0.583333333333333
2902,2914,0.578947368421053
2907,2914,0.65
2907,2916,0.565217391304348
2914,2916,0.565217391304348
2913,2919,0.571428571428571
2912,2921,0.588235294117647
2903,2925,0.571428571428571
2912,2925,0.6
2903,2926,0.666666666666667
2920,2926,0.615384615384615
2913,2927,0.571428571428571
2919,2928,0.625
2903,2931,0.583333333333333
2926,2931,0.583333333333333
2933,2934,0.571428571428571
2933,2935,0.571428571428571
0203,3002,0.578947368421053
2105,3208,0.590909090909091
1601,3209,0.5625
1904,3209,0.56
3208,3209,0.6875
3208,3210,0.586956521739131
3209,3210,0.583333333333333
3208,3212,0.568181818181818
3209,3214,0.5625
1905,3305,0.55
2106,3305,0.580645161290323
3306,3307,0.615384615384615
1704,3402,0.604166666666667
1904,3402,0.68
1905,3402,0.55
2005,3402,0.5625
2103,3402,0.58
2106,3402,0.580645161290323
3208,3402,0.583333333333333
3209,3402,0.625
3305,3402,0.596153846153846
1501,3406,0.555555555555556
0101,3502,0.555555555555556
3001,3504,0.555555555555556
2812,3705,0.666666666666667
3805,3806,0.6
3004,3808,0.558823529411765
2105,3814,0.5625
3208,3814,0.583333333333333
3209,3814,0.5625
3403,3819,0.625
0203,3821,0.55
3901,3902,0.620689655172414
3506,3904,0.56
3905,3906,0.608695652173913
3403,3908,0.5625
3506,3909,0.56
2926,3911,0.615384615384615
2912,3914,0.588235294117647
1601,3917,0.555555555555556
1905,3917,0.55
2103,3917,0.555555555555556
2106,3917,0.596774193548387
3209,3917,0.592592592592593
3305,3917,0.555555555555556
3402,3917,0.555555555555556
1601,3921,0.568181818181818
3214,3921,0.578947368421053
1905,3923,0.587301587301587
2106,3923,0.619047619047619
3917,3923,0.571428571428571
3214,3925,0.552631578947369
3921,3925,0.552631578947369
3406,3926,0.571428571428571
3916,4006,0.55
4005,4008,0.607142857142857
4005,4009,0.566666666666667
4008,4009,0.566666666666667
4009,4010,0.566666666666667
4005,4016,0.5625
4009,4016,0.625
4109,4110,0.571428571428571
1004,4301,0.5625
4403,4407,0.574074074074074
4407,4409,0.568627450980392
1602,4411,0.564102564102564
4410,4411,0.6
4408,4412,0.581395348837209
1601,4415,0.568627450980392
1905,4415,0.583333333333333
2716,4415,0.6
3305,4415,0.557692307692308
3803,4705,0.636363636363636
4703,4705,0.692307692307692
1905,4707,0.575757575757576
2106,4707,0.560606060606061
3915,4707,0.577464788732394
3214,4808,0.631578947368421
3917,4808,0.574074074074074
1904,4818,0.588235294117647
3209,4818,0.588235294117647
3402,4818,0.607843137254902
3917,4818,0.555555555555556
3923,4818,0.555555555555556
1904,4819,0.563636363636364
1905,4819,0.566666666666667
2005,4819,0.563636363636364
2106,4819,0.580645161290323
3209,4819,0.563636363636364
3917,4819,0.581818181818182
3923,4819,0.634920634920635
4415,4819,0.563636363636364
4818,4819,0.618181818181818
1601,4821,0.612244897959184
1904,4821,0.6
2103,4821,0.6
2105,4821,0.551020408163265
3209,4821,0.612244897959184
3214,4821,0.551020408163265
3305,4821,0.557692307692308
3402,4821,0.571428571428571
3814,4821,0.551020408163265
3923,4821,0.555555555555556
4819,4821,0.618181818181818
1806,4822,0.571428571428571
3921,4822,0.564102564102564
3925,4822,0.564102564102564
4418,4822,0.558139534883721
4822,4823,0.564102564102564
1601,4901,0.613636363636364
3305,4901,0.557692307692308
3820,4902,0.555555555555556
4901,4911,0.558139534883721
5002,5004,0.625
5205,5206,0.666666666666667
5204,5401,0.633333333333333
5309,5408,0.555555555555556
5408,5515,0.55
5514,5515,0.55
5210,5516,0.6
5408,5516,0.555555555555556
5701,5702,0.571428571428571
5210,5801,0.6
5309,5801,0.6875
5408,5801,0.555555555555556
5605,5801,0.6
5204,5807,0.566666666666667
5806,5807,0.576923076923077
3926,5911,0.571428571428571
5807,6002,0.592592592592593
6101,6102,0.775510204081633
6101,6103,0.673469387755102
6102,6103,0.723404255319149
6101,6104,0.653061224489796
6102,6104,0.723404255319149
6103,6104,0.75
6101,6105,0.591836734693878
6102,6105,0.659574468085106
6103,6105,0.777777777777778
6104,6105,0.711111111111111
6101,6106,0.74
6102,6106,0.76
6103,6106,0.72
6104,6106,0.74
6105,6106,0.74
6101,6107,0.591836734693878
6102,6107,0.595744680851064
6103,6107,0.659090909090909
6104,6107,0.675
6105,6107,0.577777777777778
6106,6107,0.64
6104,6108,0.575
6107,6108,0.6
6101,6109,0.653061224489796
6102,6109,0.723404255319149
6103,6109,0.723404255319149
6104,6109,0.702127659574468
6105,6109,0.808510638297872
6106,6109,0.74
6107,6109,0.659574468085106
6101,6110,0.673469387755102
6102,6110,0.702127659574468
6103,6110,0.772727272727273
6104,6110,0.785714285714286
6105,6110,0.688888888888889
6106,6110,0.7
6107,6110,0.642857142857143
6108,6110,0.571428571428571
6109,6110,0.74468085106383
6102,6111,0.553191489361702
6103,6111,0.636363636363636
6104,6111,0.65
6105,6111,0.6
6106,6111,0.56
6107,6111,0.625
6108,6111,0.6
6109,6111,0.617021276595745
6110,6111,0.619047619047619
6101,6112,0.571428571428571
6102,6112,0.659574468085106
6103,6112,0.568181818181818
6104,6112,0.675
6106,6112,0.56
6107,6112,0.575
6109,6112,0.574468085106383
6110,6112,0.666666666666667
6111,6112,0.605263157894737
6104,6113,0.55
6111,6113,0.6
6101,6114,0.551020408163265
6102,6114,0.574468085106383
6103,6114,0.636363636363636
6104,6114,0.65
6105,6114,0.622222222222222
6106,6114,0.62
6107,6114,0.6
6108,6114,0.552631578947369
6109,6114,0.702127659574468
6110,6114,0.666666666666667
6111,6114,0.657894736842105
6112,6114,0.578947368421053
6113,6114,0.578947368421053
6102,6115,0.553191489361702
6104,6115,0.55
6107,6115,0.65
6112,6115,0.564102564102564
6101,6201,0.551020408163265
6102,6201,0.595744680851064
6104,6201,0.6
6109,6201,0.553191489361702
6110,6201,0.619047619047619
6111,6201,0.567567567567568
6112,6201,0.578947368421053
6201,6202,0.756756756756757
6101,6203,0.653061224489796
6102,6203,0.6875
6103,6203,0.75
6104,6203,0.708333333333333
6105,6203,0.6875
6106,6203,0.76
6107,6203,0.645833333333333
6109,6203,0.770833333333333
6110,6203,0.729166666666667
6111,6203,0.5625
6112,6203,0.5625
6114,6203,0.625
6201,6203,0.604166666666667
6101,6204,0.591836734693878
6102,6204,0.702127659574468
6103,6204,0.727272727272727
6104,6204,0.767441860465116
6105,6204,0.666666666666667
6106,6204,0.7
6107,6204,0.674418604651163
6109,6204,0.680851063829787
6110,6204,0.72093023255814
6111,6204,0.627906976744186
6112,6204,0.627906976744186
6114,6204,0.627906976744186
6201,6204,0.604651162790698
6203,6204,0.75
6101,6205,0.653061224489796
6102,6205,0.653061224489796
6103,6205,0.693877551020408
6104,6205,0.612244897959184
6105,6205,0.63265306122449
6106,6205,0.72
6107,6205,0.571428571428571
6109,6205,0.693877551020408
6110,6205,0.693877551020408
6114,6205,0.571428571428571
6201,6205,0.591836734693878
6203,6205,0.775510204081633
6204,6205,0.673469387755102
6101,6206,0.63265306122449
6102,6206,0.765957446808511
6103,6206,0.717391304347826
6104,6206,0.695652173913044
6105,6206,0.630434782608696
6106,6206,0.74
6107,6206,0.608695652173913
6109,6206,0.659574468085106
6110,6206,0.630434782608696
6111,6206,0.586956521739131
6112,6206,0.608695652173913
6114,6206,0.565217391304348
6201,6206,0.565217391304348
6203,6206,0.708333333333333
6204,6206,0.760869565217391
6205,6206,0.714285714285714
6101,6207,0.571428571428571
6102,6207,0.617021276595745
6103,6207,0.704545454545455
6104,6207,0.666666666666667
6105,6207,0.577777777777778
6106,6207,0.62
6107,6207,0.666666666666667
6108,6207,0.595238095238095
6109,6207,0.617021276595745
6110,6207,0.666666666666667
6111,6207,0.595238095238095
6112,6207,0.595238095238095
6114,6207,0.571428571428571
6115,6207,0.571428571428571
6203,6207,0.666666666666667
6204,6207,0.697674418604651
6205,6207,0.653061224489796
6206,6207,0.673913043478261
6103,6208,0.590909090909091
6104,6208,0.625
6107,6208,0.625
6108,6208,0.628571428571429
6109,6208,0.553191489361702
6111,6208,0.6
6112,6208,0.605263157894737
6114,6208,0.552631578947369
6204,6208,0.627906976744186
6206,6208,0.565217391304348
6207,6208,0.666666666666667
6102,6209,0.595744680851064
6103,6209,0.659090909090909
6104,6209,0.65
6105,6209,0.577777777777778
6106,6209,0.58
6107,6209,0.6
6108,6209,0.666666666666667
6109,6209,0.595744680851064
6110,6209,0.666666666666667
6111,6209,0.75
6112,6209,0.631578947368421
6113,6209,0.583333333333333
6114,6209,0.657894736842105
6201,6209,0.621621621621622
6203,6209,0.625
6204,6209,0.627906976744186
6205,6209,0.591836734693878
6206,6209,0.630434782608696
6207,6209,0.666666666666667
6208,6209,0.666666666666667
6101,6210,0.653061224489796
6102,6210,0.659574468085106
6103,6210,0.590909090909091
6104,6210,0.568181818181818
6106,6210,0.56
6110,6210,0.613636363636364
6112,6210,0.590909090909091
6201,6210,0.568181818181818
6203,6210,0.5625
6204,6210,0.568181818181818
6205,6210,0.571428571428571
6206,6210,0.608695652173913
6101,6211,0.641509433962264
6102,6211,0.660377358490566
6103,6211,0.622641509433962
6104,6211,0.60377358490566
6105,6211,0.60377358490566
6106,6211,0.660377358490566
6107,6211,0.566037735849057
6109,6211,0.622641509433962
6110,6211,0.660377358490566
6112,6211,0.584905660377359
