peer_rank,peer_country_code,peer_country,structural_distance,eci,diversity,hhi,primary_share,manufacturing_share,export_value,bolivia_eci,bolivia_diversity,bolivia_hhi,bolivia_primary_share,bolivia_manufacturing_share
1,BLZ,Belice,1.24037304472246,-0.145478331917119,88,0.126048926682302,0.85629601174784,0.14370398825216,291179984,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
2,CHL,Chile,1.48018021066284,-0.528234347761655,121,0.105409694838601,0.544319408387417,0.455680591612583,90840703723,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
3,COL,Colombia,1.82111406083349,0.0740287732065023,150,0.0953712067418492,0.67326098914788,0.32673901085212,51076691193,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
4,CUB,Cuba,1.92650365122258,-1.12910879833537,41,0.195293834853409,0.469204427186947,0.530795572813053,1325448523,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
5,JAM,Jamaica,2.02951443606363,-0.31170701531367,103,0.158342096862697,0.619933844758856,0.380066155241144,1321459925,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
6,TTO,Trinidad y Tobago,2.06005063646116,0.0345117763320779,73,0.129512131782386,0.479307219749786,0.520692780250214,9705596714,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
7,GUY,Guyana,2.09319729965256,-0.66974001045096,32,0.36216814165707,0.599856806050003,0.400143193949997,12580317814,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
8,ARG,Argentina,2.14796990803427,-0.418326801134182,151,0.0534164464953535,0.59651465495978,0.40348534504022,66549505981,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
9,PAN,Panamá,2.1842227567194,-0.466058474716647,79,0.21775854369082,0.631308184350247,0.368691815649753,5288394215,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
10,PER,Perú,2.25071140869078,-0.66383016284518,147,0.117528052475258,0.691992308513786,0.308007691486214,61633578585,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
11,HND,Honduras,2.28026473584237,-0.359205478071063,159,0.0550216311903045,0.423450401726761,0.576549598273239,9560420969,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
12,NIC,Nicaragua,2.37134735622588,-0.94094520344146,102,0.0620638395546788,0.426867917387405,0.573132082612595,7651382950,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
13,PRY,Paraguay,2.48643950402983,-0.560215542545488,97,0.11787712012345,0.8479323959359,0.152067604064101,11360475590,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
14,HTI,Haití,2.58812091576166,-0.841062284480399,65,0.192546864338747,0.0340375610842418,0.965962438915758,845983939,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
15,DOM,República Dominicana,2.64990060473402,-0.144872147521716,176,0.0458183346593216,0.237524364442121,0.762475635557879,12547253226,-1.23580815913559,82,0.124386325577729,0.62675317377114,0.37324682622886
