country_code,year,region,export_value,import_value,diversity,diversity_075,hhi,entropy,primary_share,manufacturing_share,eci,diversity_complexity
ABW,1995,Rest of world,592078656,577841480,13,13,0.877060179697377,0.39118836529011,0.976355761420996,0.0236442385790039,-0.309089536808392,13
ABW,1996,Rest of world,707349853,800665282,7,11,0.84049695656361,0.479878951375798,0.973709439648388,0.0262905603516115,-0.392494303366738,7
ABW,1997,Rest of world,880614520,887301784,10,11,0.854049648483688,0.445357040396332,0.973353245413214,0.0266467545867856,-0.830495037232535,10
ABW,1998,Rest of world,581938437,840597021,15,20,0.741624725557489,0.768419977586992,0.896880007944895,0.103119992055105,0.295722454117442,15
ABW,1999,Rest of world,791932687,626829313,15,17,0.698435288794635,0.882717315981247,0.910156107750102,0.0898438922498978,0.0206471611154564,15
ABW,2000,Rest of world,1455229251,915083322,17,19,0.753215966880008,0.721927342247053,0.932915420760739,0.0670845792392611,0.324338433899583,17
ABW,2001,Rest of world,1083055087,596781428,14,18,0.734859035638038,0.786670400715409,0.962670060382626,0.0373299396173742,0.31369510669816,14
ABW,2002,Rest of world,888829664,919533828,15,16,0.748382779934815,0.772971387419191,0.907976751550002,0.0920232484499977,-0.208619909238862,15
ABW,2003,Rest of world,1044980198,1483129542,11,16,0.807304039918801,0.583748108916487,0.939801392293943,0.0601986077060572,-0.0957039494103213,11
ABW,2004,Rest of world,2121337324,2434716022,11,11,0.859620211405855,0.449445102890906,0.958737480828862,0.0412625191711377,-0.416796041178551,11
ABW,2005,Rest of world,3366089898,2973609859,18,22,0.86172975201312,0.475099551801775,0.967373723421572,0.0326262765784279,0.0542400202446234,18
ABW,2006,Rest of world,3621360451,3168602671,15,18,0.86012678566176,0.501508471800874,0.968746224096873,0.0312537759031267,0.246216264281928,15
ABW,2007,Rest of world,3853704446,2754334664,16,19,0.836995521363673,0.571209389230024,0.969247879368899,0.0307521206311004,-0.012052090203617,16
ABW,2008,Rest of world,4614112917,2710933460,14,15,0.858534765195795,0.498630282994053,0.968985166255306,0.031014833744694,0.0393246895281124,14
ABW,2009,Rest of world,1830471448,1137759156,24,26,0.676315652184301,1.05542509673148,0.919875390484649,0.0801246095153515,0.714921174555895,24
ABW,2010,Rest of world,347837798,1267236776,81,106,0.158093770916308,3.01763543619461,0.659911879386955,0.340088120613045,1.00745419541013,81
ABW,2011,Rest of world,3780933297,3074824941,18,20,0.715734549178651,0.912034339640055,0.966675932606383,0.0333240673936174,-0.398361045622943,18
ABW,2012,Rest of world,1554529758,2390800714,30,39,0.462396636581579,1.63195610926866,0.924869077996769,0.0751309220032313,0.215347473747202,30
ABW,2013,Rest of world,609140670,3451932054,62,73,0.272660926566056,2.22863209359427,0.77087112407057,0.22912887592943,0.774831326933688,62
ABW,2014,Rest of world,591885533,3712183666,52,58,0.226816087049771,2.35994916811198,0.764434992534274,0.235565007465726,0.623880895938003,52
